epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5113.01,1.11311,2.53288,1.79761,1.50081,0.62137,0.34637,0.38052,0.16273,0.59706,0.3394,0.34963,0.1806,1.5994,2.64352,2.94921,2.12852,0.000658537,0.000658537,0.000658537
2,5478.62,1.12802,1.84574,1.45736,1.48388,0.62411,0.54749,0.58466,0.27976,0.65569,0.46927,0.52936,0.27752,1.59327,3.22932,2.84234,2.28394,0.00106281,0.00106281,0.00106281
3,5879.36,1.09931,1.83124,1.3165,1.46642,0.77421,0.58659,0.67936,0.39647,0.68879,0.59218,0.64191,0.4363,1.39592,1.88153,2.00965,1.96932,0.00120309,0.00120309,0.00120309
4,6253.39,1.04465,1.54929,1.19292,1.43354,0.76859,0.67039,0.72364,0.47918,0.75875,0.65363,0.70428,0.50747,1.21232,1.77697,1.64515,1.67399,0.000812,0.000812,0.000812
5,7126.45,0.95381,1.43115,1.07934,1.37413,0.86858,0.70156,0.82657,0.59734,0.87574,0.69832,0.81379,0.63383,0.91859,1.35227,1.24044,1.44662,0.000416,0.000416,0.000416
